ID,shortName,longName,altName,saintType,feastRank,color,month,day,feastStation,feastInfo,properMass,massExceptions
o626,,Feria II in the Octave of Saint John the Baptist,,,oct4,oct4,6,26,,,,
o627,,Feria III in the Octave of Saint John the Baptist,,,oct4,oct4,6,27,,,,
o628,,Feria IV in the Octave of Saint John the Baptist,,,oct4,oct4,6,28,,,,
o629,,Feria V in the Octave of Saint John the Baptist,,,oct4,oct4,6,29,,,,
o630,,Feria VI in the Octave of Saint John the Baptist,,,oct4,oct4,6,30,,,,
o701,,Octave Day of Saint John the Baptist,,,ocd4,white,7,1,,,,
s625,St. William,,,A,dbl4,white,6,25,,,,
s626,Ss. John & Paul,,,MM,dbl4,red,6,26,,,,
s628,St. Irenaeus,,,BM,dbl4,red,6,28,,,,
v628,Vig. Ss. Peter & Paul,,,SS,vgl4,red,6,28,,,,
s629,Ss. Peter & Paul,,,SS,dbl1,red,6,29,,,,
x630,,Feria I in the Octave of Saints Peter and Paul,,,oct4,red,6,30,,,,
x701,,Feria II in the Octave of Saints Peter and Paul,,,oct4,red,7,1,,,,
o702,,Feria III in the Octave of Saints Peter and Paul,,,oct4,red,7,2,,,,
o703,,Feria IV in the Octave of Saints Peter and Paul,,,oct4,red,7,3,,,,
o704,,Feria V in the Octave of Saints Peter and Paul,,,oct4,red,7,4,,,,
o705,,Feria VI in the Octave of Saints Peter and Paul,,,oct4,red,7,5,,,,
o706,,Octave Day of Saints Peter and Paul,,,ocd4,red,7,6,,,,
c630,Comm. St. Paul,,,S,smpl,red,6,30,,,,
j701,Precious Blood,Feast of the Most Precious Blood of Our Lord,,,dbl1,red,7,1,,,,
b702,Visitation,Feast of the Visitation of the BVM,,,dbl2,blue,7,2,,,,
c702,Ss. Processus & Martinian,,,MM,smpl,red,7,2,,,,
s703,St. Leo II,,,PC,dbl5,white,7,3,,,,
s705,St. Anthony Mary Zaccaria,,,C,dbl4,white,7,5,,,,
s707,Ss. Cyril & Methodius,,,BBCC,dbl4,white,7,7,,,,
s708,St. Elizabeth,,,QW,dbl5,white,7,8,,,,
s710,Holy Seven Bros.,The Holy Seven Brothers with Saints Rufina and Secunda,,MM,dbl5,red,7,10,,,,
c711,St. Pius I,,,PM,smpl,red,7,11,,,,
s712,St. John Gualbert,,,A,dbl4,white,7,12,,,,
c712,Ss. Nabor & Felix,,,MM,smpl,red,7,12,,,,
s713,St. Anacletus,,,PM,dbl5,red,7,13,,,,
s714,St. Bonaventure,,,BCD,dbl4,white,7,14,,,,
s715,St. Henry,,,KC,dbl5,white,7,15,,,,
b716,OL Mt. Carmel,Our Lady of Mount Carmel,,,dbl3,blue,7,16,,,,
s717,St. Alexius,,,C,dbl5,white,7,17,,,,
s718,St. Camillus Lellis,Saint Camillus of Lellis,,C,dbl4,white,7,18,,,,
s719,St. Vincent de Paul,,,C,dbl4,white,7,19,,,,
s720,St. Jerome Emilian,,,C,dbl4,white,7,20,,,,
c720,St. Margaret,,,M,smpl,red,7,20,,,,
c721,St. Praxedes,,,V,smpl,white,7,21,,,,
s722,St. Mary Magdalene,,,,dbl4,white,7,22,,,,
s723,St. Apollinaris,,,BM,dbl4,red,7,23,,,,
c723,St. Liborius,,,BC,smpl,white,7,23,,,,
